semana,fecha_inicio_semana,trimestre,programa,genero,canal,horario,franja_horaria,temporada,episodio,rating,share_pct,audiencia_millones,rating_azteca,rating_canal5,demo_18_34_pct,demo_35_54_pct,demo_55plus_pct
6,2024-02-05,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,6,5.61,37.0,7.34,6.14,2.17,21.2,35.9,42.9
6,2024-02-05,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,6,4.07,45.12,5.62,3.13,1.23,25.0,27.9,47.1
7,2024-02-12,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,7,8.0,45.66,11.1,6.04,2.1,22.8,27.8,49.4
7,2024-02-12,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,7,5.17,46.12,6.74,3.42,1.36,25.0,38.8,36.2
7,2024-02-12,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,7,3.36,24.51,4.87,6.13,2.36,36.2,37.8,26.0
7,2024-02-12,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,7,6.77,40.03,9.02,5.93,2.07,21.0,40.0,39.0
7,2024-02-12,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,7,7.29,41.93,9.51,6.64,1.9,39.4,38.9,21.7
7,2024-02-12,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,7,1.72,29.66,2.64,1.75,0.93,23.3,32.3,44.4
7,2024-02-12,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,7,4.87,61.48,6.6,1.23,1.0,37.3,38.5,24.2
7,2024-02-12,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,7,6.02,39.07,8.0,5.97,1.99,27.6,39.8,32.6
7,2024-02-12,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,7,5.49,35.62,7.51,5.6,2.01,38.5,36.8,24.7
7,2024-02-12,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,7,4.4,53.82,5.38,2.51,1.06,28.5,39.4,32.1
8,2024-02-19,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,8,8.35,44.21,11.62,5.74,2.1,23.1,29.5,47.4
8,2024-02-19,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,8,4.76,46.89,6.31,3.33,1.23,31.6,33.1,35.3
8,2024-02-19,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,8,3.58,25.31,4.79,5.96,2.24,21.1,33.8,45.1
8,2024-02-19,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,8,6.63,40.08,8.96,5.84,1.95,21.1,32.6,46.3
8,2024-02-19,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,8,7.26,41.94,10.38,6.18,2.53,21.4,26.0,52.6
8,2024-02-19,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,8,1.86,32.09,2.58,2.38,0.64,28.1,39.1,32.8
8,2024-02-19,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,8,4.61,59.02,5.37,1.29,0.65,31.6,25.6,42.8
8,2024-02-19,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,8,6.1,37.96,8.99,6.18,1.98,28.4,33.8,37.8
8,2024-02-19,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,8,5.47,35.25,6.86,6.53,2.34,38.7,28.1,33.2
8,2024-02-19,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,8,4.19,53.49,6.2,2.75,1.35,24.8,30.9,44.3
9,2024-02-26,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,9,7.79,45.05,10.52,5.82,2.01,29.1,38.9,32.0
9,2024-02-26,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,9,5.25,51.9,7.03,3.25,1.5,20.2,34.3,45.5
9,2024-02-26,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,9,3.59,27.99,4.23,6.31,2.17,21.5,28.2,50.3
9,2024-02-26,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,9,6.63,38.53,9.0,6.27,2.11,22.6,30.2,47.2
9,2024-02-26,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,9,7.86,42.4,10.51,6.19,2.23,37.6,30.5,31.9
9,2024-02-26,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,9,2.49,45.21,3.64,1.92,0.45,28.8,33.1,38.1
9,2024-02-26,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,9,4.58,64.87,6.08,1.79,1.1,32.2,39.8,28.0
9,2024-02-26,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,9,6.07,36.38,7.64,5.12,2.09,33.4,33.3,33.3
9,2024-02-26,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,9,5.77,37.1,6.96,5.76,1.84,38.8,27.0,34.2
9,2024-02-26,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,9,4.47,48.83,5.66,2.59,0.89,37.8,36.1,26.1
10,2024-03-04,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,10,8.11,44.11,10.55,6.0,1.99,25.4,34.1,40.5
10,2024-03-04,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,10,4.91,47.87,6.21,2.98,1.16,24.1,34.5,41.4
10,2024-03-04,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,10,4.02,29.05,5.15,5.89,2.08,30.1,28.8,41.1
10,2024-03-04,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,10,6.67,39.76,9.31,5.59,1.98,21.8,31.4,46.8
10,2024-03-04,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,10,7.28,45.7,9.22,6.35,2.43,20.9,30.0,49.1
10,2024-03-04,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,10,2.01,34.67,2.84,2.73,1.02,32.7,28.9,38.4
10,2024-03-04,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,10,4.91,61.9,5.99,1.58,0.65,31.0,31.4,37.6
10,2024-03-04,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,10,5.62,37.23,7.15,6.47,2.28,22.2,39.2,38.6
10,2024-03-04,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,10,5.65,34.9,7.66,5.46,2.4,30.9,37.5,31.6
10,2024-03-04,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,10,4.42,52.61,5.89,2.45,0.82,28.6,25.6,45.8
11,2024-03-11,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,11,8.56,44.32,11.0,6.03,1.97,38.0,36.9,25.1
11,2024-03-11,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,11,4.9,48.98,6.27,3.22,1.23,38.0,28.2,33.8
11,2024-03-11,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,11,3.45,26.09,4.56,5.44,1.98,33.3,30.3,36.4
11,2024-03-11,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,11,7.09,41.36,9.18,5.84,2.25,39.5,36.2,24.3
11,2024-03-11,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,11,6.73,40.06,8.82,6.03,1.95,37.3,39.6,23.1
11,2024-03-11,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,11,1.54,36.44,2.1,1.6,0.62,37.6,25.4,37.0
11,2024-03-11,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,11,5.14,65.82,6.91,1.02,0.67,35.6,31.2,33.2
11,2024-03-11,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,11,6.05,39.24,8.01,6.2,1.98,25.3,36.8,37.9
11,2024-03-11,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,11,5.89,38.94,8.16,6.38,1.61,27.7,25.6,46.7
11,2024-03-11,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,11,4.1,46.13,5.45,2.95,0.98,24.4,37.2,38.4
12,2024-03-18,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,12,8.32,46.11,11.7,5.9,2.17,27.0,37.3,35.7
12,2024-03-18,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,12,4.92,48.83,6.47,3.36,1.32,24.5,34.9,40.6
12,2024-03-18,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,12,3.52,24.52,5.1,5.67,2.34,26.6,38.0,35.4
12,2024-03-18,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,12,6.75,43.46,8.71,5.05,2.03,27.0,32.6,40.4
12,2024-03-18,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,12,7.39,40.99,10.11,5.71,2.27,38.8,26.7,34.5
12,2024-03-18,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,12,1.46,28.75,2.28,0.91,1.03,23.6,39.4,37.0
12,2024-03-18,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,12,5.06,60.58,7.08,2.41,0.84,20.8,33.9,45.3
12,2024-03-18,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,12,6.24,39.47,8.08,6.13,1.93,34.6,29.7,35.7
12,2024-03-18,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,12,5.66,37.19,7.83,5.93,2.31,27.7,33.6,38.7
12,2024-03-18,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,12,4.19,48.98,5.26,2.62,1.18,20.9,31.5,47.6
13,2024-03-25,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,13,8.33,47.14,11.59,6.34,2.18,27.3,26.0,46.7
13,2024-03-25,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,13,5.72,53.29,7.22,2.49,1.7,32.5,35.0,32.5
13,2024-03-25,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,13,3.56,26.7,4.92,5.35,2.59,34.4,29.5,36.1
13,2024-03-25,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,13,6.92,41.25,9.63,5.99,2.14,33.3,29.9,36.8
13,2024-03-25,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,13,7.15,41.6,10.41,6.34,2.42,31.1,27.9,41.0
13,2024-03-25,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,13,1.97,39.6,2.61,1.52,1.02,33.5,38.5,28.0
13,2024-03-25,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,13,4.45,51.06,5.94,1.33,0.6,28.1,37.5,34.4
13,2024-03-25,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,13,5.68,35.74,7.7,5.28,1.84,25.7,31.4,42.9
13,2024-03-25,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,13,5.67,34.78,7.55,5.2,2.05,29.3,31.6,39.1
13,2024-03-25,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,13,4.17,56.96,5.61,2.71,1.24,30.2,36.9,32.9
14,2024-04-01,Q2,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,2,1,8.65,45.49,11.57,5.36,2.61,33.2,29.3,37.5
14,2024-04-01,Q2,Hoy,Magazine,Las Estrellas,09:00,Matutino,2,1,5.18,48.93,6.98,3.28,1.37,21.9,39.3,38.8
14,2024-04-01,Q2,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,2,1,3.18,25.03,4.28,5.58,1.96,33.5,28.4,38.1
14,2024-04-01,Q2,Exatlón México,Reality,TUDN,19:30,Prime Time,2,1,6.74,41.07,9.7,4.74,2.32,22.9,25.7,51.4
14,2024-04-01,Q2,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,2,1,7.77,47.0,10.35,5.65,1.82,32.2,36.5,31.3
14,2024-04-01,Q2,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,2,1,1.89,39.09,3.25,1.87,1.05,28.3,34.4,37.3
14,2024-04-01,Q2,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,2,1,5.05,63.24,6.61,1.7,0.56,34.4,30.8,34.8
14,2024-04-01,Q2,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,2,1,6.39,39.76,8.48,6.08,2.19,24.9,34.8,40.3
14,2024-04-01,Q2,Fútbol Total,Deportes,TUDN,21:00,Prime Time,2,1,5.52,34.72,7.02,6.05,2.22,37.9,37.9,24.2
14,2024-04-01,Q2,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,2,1,4.15,47.09,5.1,3.17,1.06,35.6,28.3,36.1
15,2024-04-08,Q2,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,2,2,8.16,44.15,10.73,5.24,1.79,21.0,28.7,50.3
15,2024-04-08,Q2,Hoy,Magazine,Las Estrellas,09:00,Matutino,2,2,5.21,52.26,7.74,2.37,1.74,29.1,37.0,33.9
15,2024-04-08,Q2,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,2,2,3.51,26.47,4.52,5.96,2.09,39.0,38.4,22.6
15,2024-04-08,Q2,Exatlón México,Reality,TUDN,19:30,Prime Time,2,2,7.23,42.31,9.82,5.65,2.09,36.6,33.2,30.2
15,2024-04-08,Q2,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,2,2,7.29,44.9,9.3,6.1,2.13,34.9,32.1,33.0
15,2024-04-08,Q2,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,2,2,2.07,37.1,2.93,1.28,0.64,35.0,37.6,27.4
15,2024-04-08,Q2,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,2,2,5.03,62.56,6.95,0.82,1.01,35.3,32.8,31.9
15,2024-04-08,Q2,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,2,2,6.16,38.29,8.71,6.47,2.3,25.5,26.2,48.3
15,2024-04-08,Q2,Fútbol Total,Deportes,TUDN,21:00,Prime Time,2,2,5.23,36.34,6.81,5.81,2.2,24.7,30.0,45.3
15,2024-04-08,Q2,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,2,2,4.02,46.67,5.12,2.56,0.82,22.8,28.5,48.7
16,2024-04-15,Q2,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,2,3,7.8,46.09,10.14,6.22,1.91,34.1,26.0,39.9
16,2024-04-15,Q2,Hoy,Magazine,Las Estrellas,09:00,Matutino,2,3,5.97,51.39,8.13,2.86,1.54,26.6,32.0,41.4
16,2024-04-15,Q2,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,2,3,3.18,24.38,5.32,5.76,2.33,24.1,31.3,44.6
16,2024-04-15,Q2,Exatlón México,Reality,TUDN,19:30,Prime Time,2,3,6.49,39.88,9.47,5.55,2.46,37.1,36.5,26.4
16,2024-04-15,Q2,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,2,3,7.62,44.46,10.54,6.19,2.22,29.5,39.1,31.4
16,2024-04-15,Q2,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,2,3,1.66,34.61,2.14,1.47,0.92,35.1,37.8,27.1
16,2024-04-15,Q2,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,2,3,5.03,63.98,6.94,1.74,0.91,30.8,36.0,33.2
16,2024-04-15,Q2,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,2,3,6.33,38.25,8.73,5.77,1.77,29.8,29.1,41.1
16,2024-04-15,Q2,Fútbol Total,Deportes,TUDN,21:00,Prime Time,2,3,5.91,37.37,8.09,5.29,1.88,20.6,30.0,49.4
16,2024-04-15,Q2,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,2,3,4.68,51.09,6.59,2.81,1.11,34.5,37.6,27.9
17,2024-04-22,Q2,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,2,4,8.35,46.67,11.31,5.62,2.01,39.6,33.0,27.4
17,2024-04-22,Q2,Hoy,Magazine,Las Estrellas,09:00,Matutino,2,4,5.09,48.01,6.68,3.7,1.22,31.8,34.9,33.3
17,2024-04-22,Q2,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,2,4,3.29,25.56,5.02,5.88,2.31,32.9,27.0,40.1
17,2024-04-22,Q2,Exatlón México,Reality,TUDN,19:30,Prime Time,2,4,6.46,39.41,9.08,5.83,2.31,23.6,28.9,47.5
17,2024-04-22,Q2,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,2,4,7.26,40.87,10.72,5.65,2.01,24.2,29.9,45.9
17,2024-04-22,Q2,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,2,4,2.57,37.46,3.26,1.33,0.74,25.6,39.3,35.1
17,2024-04-22,Q2,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,2,4,4.58,60.1,5.78,1.19,0.79,25.0,26.2,48.8
17,2024-04-22,Q2,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,2,4,6.07,36.47,7.8,6.19,2.06,35.0,25.8,39.2
17,2024-04-22,Q2,Fútbol Total,Deportes,TUDN,21:00,Prime Time,2,4,5.78,36.31,7.35,5.95,2.13,24.5,26.0,49.5
17,2024-04-22,Q2,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,2,4,4.38,48.53,6.9,2.54,0.99,35.1,39.2,25.7
18,2024-04-29,Q2,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,2,5,7.87,45.25,10.37,6.28,2.38,36.8,34.3,28.9
